Name,# of Reviews,Rating,Price,Cuisine,Neighbourhood,Price_,New_Price
Panera Bread,82,3.0,2,American,Unionville,,2.0
Pai Northern Thai Kitchen,2862,4.5,2,Asian,Entertainment District,2.4727272727272727,2.0
Beefing with 7,17,4.5,0,Asian,Willowdale,2.0,2.0
Mira,218,4.5,2,European,Entertainment District,2.4727272727272727,2.0
Richmond Station,764,4.5,3,American,Downtown Core,2.1016949152542375,3.0
Gusto 101,971,4.0,2,European,Entertainment District,2.4727272727272727,2.0
Khao San Road,1549,4.0,2,Asian,Entertainment District,2.4727272727272727,2.0
KINKA IZAKAYA ORIGINAL,1606,4.0,2,Asian,Downtown Core,2.1016949152542375,2.0
Sabai Sabai Kitchen and Bar,378,4.0,2,Asian,Church-Wellesley Village,2.0,2.0
Byblos,787,4.5,3,Middle Eastern,Entertainment District,2.4727272727272727,3.0
Uncle Ray’s Food & Liquor,13,5.0,0,American,St. Lawrence,2.0,2.0
Sabai Sabai Kitchen and Bar,280,4.0,2,Asian,Downtown Core,2.1016949152542375,2.0
Juicy Dumpling,472,4.0,1,Asian,Chinatown,1.7727272727272727,1.0
Seven Lives Tacos y Mariscos,1300,4.5,1,Mexican,Kensington Market,1.7777777777777777,1.0
Chubby’s Jamaican Kitchen,243,4.0,2,Carribean,Entertainment District,2.4727272727272727,2.0
Mabu Generation,16,4.5,2,Asian,Downtown Core,2.1016949152542375,2.0
The Elm Tree Restaurant,267,4.5,2,Middle Eastern,Downtown Core,2.1016949152542375,2.0
Katsuya,403,4.5,2,Asian,Downtown Core,2.1016949152542375,2.0
Descendant Detroit Style Pizza,325,4.5,2,American,Leslieville,2.0,2.0
Boukan,3,4.5,0,American,Upper Beach,2.0,2.0
PŌPA,24,4.0,3,Asian,Bayview Village,,3.0
Loch & Quay,62,4.0,2,American,Harbourfront,2.2222222222222223,2.0
Otto’s Bierhalle,173,4.0,2,European,West Queen West,2.125,2.0
Smoque N’ Bones,373,4.0,2,American,Niagara,2.3333333333333335,2.0
GB Hand-pulled Noodles,527,4.0,2,Asian,Downtown Core,2.1016949152542375,2.0
Agio,171,4.5,2,European,Corso Italia,2.1666666666666665,2.0
The Oxley,139,4.0,2,American,Yorkville,2.7222222222222223,2.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
Loch & Quay,62,4.0,2,American,Harbourfront,2.2222222222222223,2.0
Lamesa Filipino Kitchen,349,4.0,2,Asian,Corso Italia,2.1666666666666665,2.0
Eataly,168,3.5,2,European,Yorkville,2.7222222222222223,2.0
Khmer Thai Restaurant,132,4.0,2,Asian,Corso Italia,2.1666666666666665,2.0
Budapest Restaurant,57,4.5,2,European,Upper Beach,2.0,2.0
Tibet Kitchen,243,4.5,2,Asian,Parkdale,1.7692307692307692,2.0
Oddseoul,306,4.0,2,Asian,Ossington Strip,2.217391304347826,2.0
Antler Kitchen & Bar,255,4.5,3,American,Little Portugal,2.4285714285714284,3.0
The Oxley,139,4.0,2,American,Yorkville,2.7222222222222223,2.0
Boonsik,5,4.0,0,Asian,Bickford Park,2.2857142857142856,2.0
Her Father’s Cider Bar & Kitchen,154,4.5,2,American,Entertainment District,2.4727272727272727,2.0
Himalayan Kitchen,112,4.5,2,Asian,Parkdale,1.7692307692307692,2.0
Pantheon Restaurant,303,4.0,2,European,Greektown,1.8571428571428572,2.0
Koh Lipe Thai Kitchen,176,4.0,2,Asian,Downtown Core,2.1016949152542375,2.0
Ramen Isshin,699,4.5,2,Asian,Kensington Market,1.7777777777777777,2.0
Chica’s Nashville Hot Chicken,93,4.5,2,American,The Junction,2.0,2.0
Buca,420,4.0,3,European,Entertainment District,2.4727272727272727,3.0
Lee Restaurant,627,4.0,3,Asian,Entertainment District,2.4727272727272727,3.0
Pinky’s Ca Phe,147,4.0,2,Asian,Palmerston,,2.0
Pho Tien Thanh,396,4.0,1,Asian,Ossington Strip,2.217391304347826,1.0
Moliceiro Restaurant,64,4.5,2,European,Ossington Strip,2.217391304347826,2.0
The Stockyards,719,4.0,2,American,Wychwood,1.9,2.0
Mildred’s Temple Kitchen,892,4.0,2,American,Liberty Village,,2.0
Okonomi House Restaurant,269,4.0,1,Asian,Downtown Core,2.1016949152542375,1.0
Bar Isabel,415,4.0,3,European,Bickford Park,2.2857142857142856,3.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
I’ll Be Seeing You,49,5.0,2,American,Riverdale,2.0,2.0
Trattoria Nervosa,333,4.0,2,European,Yorkville,2.7222222222222223,2.0
Playa Cabana,429,4.0,2,Mexican,The Annex,2.3703703703703702,2.0
Aloette,228,4.5,3,European,Queen Street West,2.25,3.0
The Hole In the Wall,153,4.5,2,American,The Junction,2.0,2.0
Pomegranate Restaurant,185,4.0,2,Middle Eastern,Downtown,1.8,2.0
Islas Filipino BBQ and Bar,61,4.5,0,Asian,Parkdale,1.7692307692307692,2.0
Hanmoto,207,4.0,2,Asian,Little Portugal,2.4285714285714284,2.0
Tabule Middle Eastern Cuisine,183,4.0,2,Middle Eastern,Riverdale,2.0,2.0
Yin Ji Chang Fen,8,3.5,0,Asian,Chinatown,1.7727272727272727,2.0
Sugo,170,4.5,2,European,Bloordale Village,1.6,2.0
La Bella Managua,222,4.5,2,American,Christie Pits,,2.0
Aanch Modernistic Indian Cuisine,157,4.5,2,Asian,Entertainment District,2.4727272727272727,2.0
Korean Village Restaurant,331,4.0,2,Asian,Koreatown,1.85,2.0
Swatow Restaurant,394,4.0,2,Asian,Chinatown,1.7727272727272727,2.0
Momo Hut & Gardens,81,4.5,2,Asian,Greektown,1.8571428571428572,2.0
Si Lom Thai Bistro,163,4.0,2,Asian,Church-Wellesley Village,2.0,2.0
The MoMo House,20,4.5,0,Asian,Parkdale,1.7692307692307692,2.0
Beerbistro,642,4.0,2,American,Downtown Core,2.1016949152542375,2.0
Sala Modern Thai Kitchen & Bar,145,4.5,2,Asian,The Danforth,1.9285714285714286,2.0
Wvrst,790,4.0,2,European,Entertainment District,2.4727272727272727,2.0
Tokyo Hot Fried Chicken,18,4.0,0,American,None,,
Isaan Der,82,4.0,2,Asian,The Junction,2.0,2.0
Mezes,205,4.0,2,European,Greektown,1.8571428571428572,2.0
Campechano Taquería,157,4.0,2,Mexican,Financial District,,2.0
Mogouyan,41,4.0,2,Asian,Yorkville,2.7222222222222223,2.0
Nodo Restaurant,172,4.0,2,European,The Junction,2.0,2.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
El Venezolano,17,4.5,0,South American,Greektown,1.8571428571428572,2.0
Tabule Restaurant,253,4.0,2,Middle Eastern,Mount Pleasant and Davisville,2.2857142857142856,2.0
Nodo Restaurant,50,4.5,2,European,Wychwood,1.9,2.0
Cumin Kitchen - Fine Indian Cuisine,43,4.5,0,Asian,The Danforth,1.9285714285714286,2.0
SugarKane,14,4.5,0,Carribean,Greektown,1.8571428571428572,2.0
Imm Thai Kitchen,102,4.5,2,Asian,Little Italy,2.272727272727273,2.0
Kovalsky Restaurant,57,4.5,2,European,Etobicoke,2.0,2.0
Jin Dal Lae,73,4.5,2,Asian,Koreatown,1.85,2.0
Onnki Donburi,161,4.0,2,Asian,Church-Wellesley Village,2.0,2.0
Carmen,152,4.0,3,European,West Queen West,2.125,3.0
Lao Thai Restaurant,74,4.0,2,Asian,Beaconsfield Village,2.2857142857142856,2.0
Tokyo Kitchen,137,4.0,2,Asian,Church-Wellesley Village,2.0,2.0
Manpuku Japanese Eatery,470,4.0,1,Asian,Downtown Core,2.1016949152542375,1.0
Patria,477,4.0,3,European,Entertainment District,2.4727272727272727,3.0
Nuit Social,208,4.5,2,American,Beaconsfield Village,2.2857142857142856,2.0
Raku,213,4.0,2,Asian,Alexandra Park,1.7857142857142858,2.0
BuaBua Thai,34,4.0,2,Asian,Mount Pleasant and Davisville,2.2857142857142856,2.0
La Paella,29,4.0,0,European,Leslieville,2.0,2.0
DaiLo,272,4.0,3,Asian,Little Italy,2.272727272727273,3.0
Jollibee,269,3.5,2,Asian,Scarborough,1.7777777777777777,2.0
Fat Pasha,187,4.0,3,Middle Eastern,The Annex,2.3703703703703702,3.0
Yupdduk Bloor,21,4.0,0,Asian,Koreatown,1.85,2.0
Zeal Burgers,115,5.0,2,American,North York,,2.0
Mayrik,56,4.5,3,Middle Eastern,Mount Pleasant and Davisville,2.2857142857142856,3.0
The Hogtown Vegan,402,4.0,2,American,Dovercourt,2.0,2.0
El Catrin Destileria,904,3.5,3,Mexican,Distillery District,,3.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
Casa Fuego,32,4.5,0,American,Entertainment District,2.4727272727272727,2.0
Rio 40 Restaurant,51,4.0,2,South American,Corso Italia,2.1666666666666665,2.0
Daldongnae,22,4.5,3,Asian,Koreatown,1.85,3.0
Koricancha Restaurant,18,4.5,2,European,York,2.0,2.0
Té,95,4.0,2,Asian,Ossington Strip,2.217391304347826,2.0
Tacos El Asador,287,4.0,1,Mexican,Koreatown,1.85,1.0
Omai Restaurant,93,4.0,2,Asian,Downtown Core,2.1016949152542375,2.0
Café Polonez,244,4.5,2,European,Roncesvalles,1.8333333333333333,2.0
Yummy Korean Food Restaurant,240,4.0,1,Asian,Koreatown,1.85,1.0
The Irv Gastro Pub,114,4.5,2,American,Cabbage Town,,2.0
Esto Es Colombia,3,5.0,0,South American,Downtown Core,2.1016949152542375,2.0
Madrina Bar y Tapas,86,4.0,2,American,Distillery District,,2.0
Mamakas Taverna,185,4.0,3,European,Ossington Strip,2.217391304347826,3.0
La Cubana,213,3.5,2,South American,Roncesvalles,1.8333333333333333,2.0
El Nahual Tacos,117,4.5,1,Mexican,The Annex,2.3703703703703702,1.0
Pearl Diver,573,4.0,2,American,Corktown,2.2857142857142856,2.0
Ikkousha Ramen,207,4.5,2,Asian,Queen Street West,2.25,2.0
Lee Chen Asian Bistro,169,4.0,2,Asian,Entertainment District,2.4727272727272727,2.0
Little Sister,189,3.5,2,Asian,Mount Pleasant and Davisville,2.2857142857142856,2.0
Bobbie Sue’s Mac & Cheese,121,4.0,1,Other,Ossington Strip,2.217391304347826,1.0
Miku,770,4.0,3,Asian,Harbourfront,2.2222222222222223,3.0
Joso’s,151,4.5,3,American,Yorkville,2.7222222222222223,3.0
Sukho Thai,479,3.5,2,Asian,St. Lawrence,2.0,2.0
King Taps,290,4.0,2,American,Financial District,,2.0
Seor Ak San,291,4.0,2,Asian,Chinatown,1.7727272727272727,2.0
Cafe Landwer,313,4.0,2,American,Financial District,,2.0
Buk Chang Dong Soon Tofu,447,4.0,2,Asian,Koreatown,1.85,2.0
Queen of Persia,34,4.5,3,Middle Eastern,Corso Italia,2.1666666666666665,3.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
Nom Nom Nom Poutine,107,4.5,1,American,Alexandra Park,1.7857142857142858,1.0
Barberian’s Steak House,272,4.0,3,American,Downtown Core,2.1016949152542375,3.0
Chris Jerk Caribbean Bistro,328,4.5,2,Carribean,Scarborough,1.7777777777777777,2.0
Ooshee Mediterranean Oven,18,5.0,0,Middle Eastern,Downtown Core,2.1016949152542375,2.0
CRU,32,4.0,0,American,Downtown Core,2.1016949152542375,2.0
Trattoria Taverniti,142,4.0,2,European,Little Italy,2.272727272727273,2.0
Leela Indian Food Bar,80,4.5,2,Asian,The Junction,2.0,2.0
Zezafoun Syrian Cuisine,84,4.5,2,Middle Eastern,Mount Pleasant and Davisville,2.2857142857142856,2.0
Indian Roti House,197,4.0,2,Asian,Harbourfront,2.2222222222222223,2.0
Sea Witch Fish and Chips,115,4.0,2,American,Wychwood,1.9,2.0
Pho Linh,216,4.0,1,Asian,Brockton Village,1.8333333333333333,1.0
Fishman Lobster Clubhouse Restaurant,912,4.0,3,Asian,Milliken,,3.0
Mr. K,6,3.5,0,American,Willowdale,2.0,2.0
Dee,29,4.0,0,Asian,Mount Pleasant and Davisville,2.2857142857142856,2.0
Le Baratin,96,4.5,2,European,Brockton Village,1.8333333333333333,2.0
Enoteca Sociale,302,4.0,3,European,Little Portugal,2.4285714285714284,3.0
Hancook Cheese Dakgalbi,71,4.0,2,Asian,Koreatown,1.85,2.0
La Cubana,43,4.5,2,South American,Leslieville,2.0,2.0
Kiin,194,4.0,3,Asian,Entertainment District,2.4727272727272727,3.0
Bar Sybanne,82,4.5,3,Middle Eastern,Ossington Strip,2.217391304347826,3.0
Terroni,661,3.5,2,European,Downtown Core,2.1016949152542375,2.0
Alma,14,3.5,0,American,Bloordale Village,1.6,2.0
Farm’r Eatery & Catering,98,4.5,2,American,St. Lawrence,2.0,2.0
Kay Pacha,46,4.0,3,European,Corso Italia,2.1666666666666665,3.0
Plan B,20,5.0,0,African,Etobicoke,2.0,2.0
Papyrus,22,4.5,2,African,Riverdale,2.0,2.0
Ruby Watchco,249,4.0,3,American,Riverdale,2.0,3.0
Loose Moose,410,3.5,2,American,Downtown Core,2.1016949152542375,2.0
Otto’s Berlin Döner,254,4.0,2,European,Kensington Market,1.7777777777777777,2.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
7 Numbers Restaurant,102,4.0,2,European,York,2.0,2.0
Khau Gully,79,4.0,2,Asian,Mount Pleasant and Davisville,2.2857142857142856,2.0
Simone’s Caribbean Restaurant,122,4.5,2,Carribean,Greektown,1.8571428571428572,2.0
Nana,187,3.5,2,Asian,Niagara,2.3333333333333335,2.0
Pizzeria Libretto,537,4.0,2,American,Ossington Strip,2.217391304347826,2.0
Hotmess Tex Mex,25,4.0,2,Mexican,Little Italy,2.272727272727273,2.0
416 Snack Bar,320,4.0,2,European,Alexandra Park,1.7857142857142858,2.0
Rasta Pasta,318,4.0,1,Carribean,Kensington Market,1.7777777777777777,1.0
Byblos Uptown,46,4.0,0,Middle Eastern,Yonge and Eglinton,2.25,2.0
Mr.Tonkatsu,189,4.0,2,Asian,The Annex,2.3703703703703702,2.0
Yummy Yummy Dumplings,261,4.0,2,Asian,Downtown Core,2.1016949152542375,2.0
Alo Restaurant,287,4.5,4,American,Queen Street West,2.25,4.0
El Trompo Taco Bar,333,4.0,2,Mexican,Kensington Market,1.7777777777777777,2.0
Saku Sushi,481,4.0,2,American,Alexandra Park,1.7857142857142858,2.0
Mengrai Thai,274,4.0,2,Asian,Corktown,2.2857142857142856,2.0
Napoli Centrale,59,4.5,2,European,Seaton Village,,2.0
Le Plato,6,4.0,0,African,Greektown,1.8571428571428572,2.0
Guu Izakaya Toronto,126,4.0,2,Asian,Parkdale,1.7692307692307692,2.0
Nando’s,59,3.5,2,African,Niagara,2.3333333333333335,2.0
Kingyo Izakaya,329,4.0,2,Asian,Cabbagetown,2.2,2.0
The Burger’s Priest,68,3.5,2,American,Downtown Core,2.1016949152542375,2.0
The Caledonian,138,4.5,2,American,Dufferin Grove,2.5,2.0
Madras Masala,145,4.0,2,Asian,Christie Pits,,2.0
Canoe,668,4.0,4,American,Financial District,,4.0
Athens Restaurant,82,4.0,2,European,Greektown,1.8571428571428572,2.0
Lucy Ethiopian Kitchen,58,4.5,2,African,The Danforth,1.9285714285714286,2.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
Pizzeria Libretto,537,4.0,2,American,Ossington Strip,2.217391304347826,2.0
Nomads Restobar,12,4.5,0,American,Riverdale,2.0,2.0
Frankie’s,23,3.5,0,European,Leslieville,2.0,2.0
Good Hombres,68,4.5,0,Mexican,Little Italy,2.272727272727273,2.0
La Chingada,43,4.0,0,Mexican,Little Portugal,2.4285714285714284,2.0
La Carnita,379,3.5,2,Mexican,Entertainment District,2.4727272727272727,2.0
416 Snack Bar,320,4.0,2,European,Alexandra Park,1.7857142857142858,2.0
Alo Restaurant,287,4.5,4,American,Queen Street West,2.25,4.0
ZIBA Berlin Döner,35,4.0,2,Middle Eastern,Leslieville,2.0,2.0
Beast Restaurant,406,4.0,2,American,Niagara,2.3333333333333335,2.0
Gordo EX Cafe,37,4.0,2,South American,Seaton Village,,2.0
Yasu,357,4.5,4,Asian,Entertainment District,2.4727272727272727,4.0
Jatujak,350,4.0,2,Other,Scarborough,1.7777777777777777,2.0
Demen Bistro,41,4.5,2,Asian,Alexandra Park,1.7857142857142858,2.0
Ha Gow Dim Sum House,101,4.0,1,Asian,The Danforth,1.9285714285714286,1.0
Thindi,11,5.0,0,Asian,Ryerson,1.8,2.0
Guu Izakaya Toronto,126,4.0,2,Asian,Parkdale,1.7692307692307692,2.0
CANO Restaurant,38,4.5,2,European,Corso Italia,2.1666666666666665,2.0
Honest Weight,123,4.5,2,American,The Junction,2.0,2.0
Rickshaw Bar,105,4.0,2,European,Niagara,2.3333333333333335,2.0
VOS Restaurante Argentino,24,4.5,0,South American,Dufferin Grove,2.5,2.0
32 Chicken St.,25,4.5,2,Asian,Kensington Market,1.7777777777777777,2.0
Zaad,36,4.0,2,Middle Eastern,The Annex,2.3703703703703702,2.0
The Annex Food Hall,40,4.0,2,American,The Annex,2.3703703703703702,2.0
The Daily Dumpling Wonton Co,30,4.0,0,Asian,Bickford Park,2.2857142857142856,2.0
Aztec’s Mine,88,4.0,2,Mexican,High Park,,2.0
Oyster Boy,179,4.0,3,American,West Queen West,2.125,3.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
Super Point,92,3.5,2,American,Ossington Strip,2.217391304347826,2.0
Uncle Mikey’s,42,4.5,2,Asian,Brockton Village,1.8333333333333333,2.0
Canoe,668,4.0,4,American,Financial District,,4.0
Hotopia Downtown,21,3.5,0,Asian,Church-Wellesley Village,2.0,2.0
Beiteddine Lebanese Restaurant,17,4.0,0,Middle Eastern,Greektown,1.8571428571428572,2.0
Mymy Chicken,209,4.0,2,American,Willowdale,2.0,2.0
Gyukatsu Kyoto Katsugyu,83,3.5,2,Asian,Ryerson,1.8,2.0
DeSotos Eatery,68,4.0,2,American,Corso Italia,2.1666666666666665,2.0
Sash,8,4.5,0,American,Summer Hill,1.6666666666666667,2.0
Saigon Lotus,178,4.5,2,Asian,Chinatown,1.7727272727272727,2.0
Dandylion Restaurant,81,4.0,3,American,Beaconsfield Village,2.2857142857142856,3.0
Grazie Ristorante,416,4.0,2,European,Yonge and Eglinton,2.25,2.0
Planta Yorkville,426,4.0,2,European,Yorkville,2.7222222222222223,2.0
Daddyo’s Pasta & Salads,96,4.0,2,European,University of Toronto,,2.0
La Carnita,488,3.5,2,Mexican,Little Italy,2.272727272727273,2.0
Campo,48,4.0,2,European,North York,,2.0
Nobuya,190,4.0,2,Asian,Etobicoke,2.0,2.0
Epicure City BOM,153,4.0,2,Asian,Downtown Core,2.1016949152542375,2.0
Los Arrieros,31,4.0,2,South American,North York,,2.0
Sabor Brasil,18,4.0,2,South American,Corso Italia,2.1666666666666665,2.0
King’s Tacos,62,4.0,2,Mexican,Corso Italia,2.1666666666666665,2.0
Giulietta,83,4.0,3,European,Dufferin Grove,2.5,3.0
Knuckle Sandwich,102,4.0,2,American,East York,1.625,2.0
Jules Bistro,19,4.0,0,American,Leslieville,2.0,2.0
The Real Jerk,159,3.5,2,Carribean,Riverdale,2.0,2.0
Chadwick’s,196,4.0,2,American,The Annex,2.3703703703703702,2.0
Camel Restaurant,2,5.0,0,Middle Eastern,Greektown,1.8571428571428572,2.0
Stelvio,112,4.0,2,European,Trinity Bellwoods,2.1666666666666665,2.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
Bar Fancy,118,4.0,2,American,Beaconsfield Village,2.2857142857142856,2.0
Piano Piano,246,3.5,3,European,Entertainment District,2.4727272727272727,3.0
Chung Chun Rice Hotdog,52,4.0,0,American,Willowdale,2.0,2.0
Greenwood Smokehouse BBQ,143,3.5,2,American,Greektown,1.8571428571428572,2.0
Wow Sushi,410,4.0,2,American,Downtown Core,2.1016949152542375,2.0
Bloom Restaurant,62,4.5,3,American,Swansea,2.5,3.0
Local 1794,106,4.0,2,American,The Danforth,1.9285714285714286,2.0
Loga’s Corner,125,4.5,1,Asian,Parkdale,1.7692307692307692,1.0
Scaramouche Restaurant Pasta Bar & Grill,288,4.5,4,European,South Hill,,4.0
Country Style Hungarian Restaurant,115,3.5,2,European,The Annex,2.3703703703703702,2.0
Sakawa Coffee & Japanese Restaurant,104,4.5,2,Asian,Greektown,1.8571428571428572,2.0
Double D’s,95,3.0,2,American,Leslieville,2.0,2.0
Luna Junction,18,4.5,0,European,The Junction,2.0,2.0
Figs and Olives Kitchen,56,4.5,2,Middle Eastern,Downtown Core,2.1016949152542375,2.0
Lake Inez,87,4.5,3,American,Leslieville,2.0,3.0
Cafe Oro Di Napoli,37,4.5,2,American,Corktown,2.2857142857142856,2.0
The SOS,44,4.0,2,American,Entertainment District,2.4727272727272727,2.0
La Palma,166,3.5,3,European,Trinity Bellwoods,2.1666666666666665,3.0
Rodney’s Oyster House,374,4.0,3,American,Entertainment District,2.4727272727272727,3.0
Hokkaido Ramen Santouka,847,4.0,2,Asian,Ryerson,1.8,2.0
Yukashi Japanese Cuisine,26,4.5,4,Asian,Mount Pleasant and Davisville,2.2857142857142856,4.0
The Burger’s Priest,373,4.0,2,American,Queen Street West,2.25,2.0
Museum Tavern,220,3.5,2,American,The Annex,2.3703703703703702,2.0
Nando’s Flame Grilled Chicken,209,3.5,2,European,Discovery District,,2.0
Good Fork,334,4.0,2,American,Brockton Village,1.8333333333333333,2.0
Cluck Clucks,262,4.0,2,American,St. Lawrence,2.0,2.0
Smith Bros.,344,4.0,2,American,Scarborough,1.7777777777777777,2.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
PG Clucks,154,4.5,1,American,Bickford Park,2.2857142857142856,1.0
Bellwoods Brewery,335,4.0,2,American,Ossington Strip,2.217391304347826,2.0
Ramen Isshin,41,4.5,2,Asian,Queen Street West,2.25,2.0
Darvish Restaurant,97,4.0,2,Middle Eastern,Downtown Core,2.1016949152542375,2.0
Hendriks Restaurant & Bar,86,4.0,3,American,Downtown Core,2.1016949152542375,3.0
Makan,1,5.0,0,Asian,Queen Street West,2.25,2.0
Churrasqueira Martins,52,3.5,2,European,Financial District,,2.0
George,258,4.5,4,American,Corktown,2.2857142857142856,4.0
Kokyo Japanese Restaurant,47,4.0,2,Asian,Financial District,,2.0
BlueBlood Steakhouse,97,3.5,4,American,Casa Loma,,4.0
Farmhouse Tavern,243,3.5,2,American,The Junction,2.0,2.0
Skippa,76,4.0,4,Asian,Bickford Park,2.2857142857142856,4.0
Batch,155,3.5,2,American,Downtown Core,2.1016949152542375,2.0
Rol San,739,3.0,2,Asian,Chinatown,1.7727272727272727,2.0
Lahore Tikka House,497,3.5,2,Middle Eastern,Leslieville,2.0,2.0
The Ace,183,4.0,2,Other,Roncesvalles,1.8333333333333333,2.0
Steam Whistle Biergarten,5,4.0,0,European,Entertainment District,2.4727272727272727,2.0
Fieramosca,96,4.5,3,European,The Annex,2.3703703703703702,3.0
The Greek Grill,71,4.0,2,European,East York,1.625,2.0
Hacienda las Américas,60,4.5,2,Mexican,Downtown,1.8,2.0
Rikkochez,55,4.5,2,Middle Eastern,Riverdale,2.0,2.0
Pizzeria Libretto Danforth,306,4.0,2,American,Greektown,1.8571428571428572,2.0
Bukhara Grill,61,4.0,2,Asian,Swansea,2.5,2.0
Woodlot Restaurant,264,4.0,3,Other,Little Italy,2.272727272727273,3.0
Grand Electric,688,3.5,2,American,Parkdale,1.7692307692307692,2.0
